,Latitude,Longitude
0,49.13,-96.78
1,50.50,-98.04
2,46.42,-74.87
3,49.83,-110.90
4,43.96,-79.84
5,69.57,-138.91
6,52.36,-97.02
7,43.82,-79.08
8,44.10,-78.83
9,45.28,-63.73
10,45.30,-72.90
11,44.21,-79.69
12,55.63,-116.05
13,48.98,-79.13
14,65.28,-126.83
15,66.03,-91.83
16,51.98,-124.99
17,48.62,-89.37
18,49.25,-122.52
19,52.18,-116.45
20,49.92,-103.60
21,53.88,-111.07
22,50.50,-99.48
23,51.30,-116.98
24,55.26,-118.18
25,57.18,-114.62
26,52.12,-111.45
27,53.83,-122.80
28,56.23,-117.28
29,42.30,-82.70
30,49.70,-103.80
31,46.48,-71.93
32,45.35,-74.67
33,51.39,-56.09
34,53.22,-67.10
35,49.28,-112.20
36,49.07,-81.03
37,54.03,-125.77
38,49.27,-122.73
39,55.55,-114.18
40,47.17,-71.25
41,55.47,-127.77
42,50.82,-97.50
43,49.49,-110.82
44,52.35,-127.68
45,51.77,-112.28
46,50.27,-99.83
47,47.52,-64.92
48,49.08,-96.55
49,43.38,-80.35
50,42.55,-81.62
51,52.80,-117.80
52,50.02,-124.98
53,43.72,-80.95
54,50.22,-112.88
55,50.83,-99.05
56,49.38,-82.12
57,47.52,-79.68
58,52.77,-114.48
59,49.90,-99.95
60,50.22,-111.17
61,43.75,-81.70
62,43.72,-79.32
63,49.07,-122.78
64,51.48,-110.05
65,59.17,-118.33
66,52.39,-126.60
67,43.38,-80.13
68,49.18,-119.53
69,49.03,-118.47
70,54.68,-101.68
71,47.85,-61.13
72,45.35,-75.93
73,65.10,-102.43
74,45.40,-75.63
75,49.30,-122.88
76,47.42,-53.82
77,46.50,-82.62
78,45.73,-73.88
79,46.15,-80.02
80,50.00,-107.43
81,48.42,-71.08
82,53.00,-78.82
83,52.33,-112.72
84,55.78,-118.83
85,44.15,-78.97
86,45.80,-61.22
87,50.65,-68.83
88,70.17,-124.72
89,51.73,-103.63
90,51.45,-111.63
91,56.98,-130.25
92,49.27,-54.48
93,53.42,-117.78
94,49.78,-86.94
95,49.35,-124.37
96,49.69,-125.03
97,42.27,-81.93
98,50.75,-97.93
99,48.76,-86.35
100,57.33,-115.67
101,48.73,-69.08
102,73.01,-85.05
103,49.82,-108.57
104,49.38,-122.86
105,54.28,-104.55
106,46.37,-78.73
107,49.40,-104.40
108,44.63,-64.67
109,60.75,-137.51
110,51.45,-110.48
111,45.22,-66.18
112,52.32,-111.47
113,46.82,-71.32
114,53.52,-105.53
115,49.08,-116.50
116,51.45,-57.18
117,49.87,-111.37
118,50.87,-114.29
119,59.42,-126.10
120,43.03,-81.15
121,45.43,-71.55
122,52.55,-107.23
123,47.98,-66.33
124,49.29,-122.99
125,43.87,-79.25
126,50.10,-122.94
127,50.23,-100.33
128,64.04,-139.13
129,50.96,-119.38
130,51.92,-120.05
131,49.75,-125.29
132,50.25,-111.17
133,50.65,-120.02
134,48.90,-71.77
135,43.20,-79.83
136,50.04,-119.42
137,49.28,-100.99
138,54.73,-115.22
139,46.85,-78.62
140,50.32,-122.82
141,51.33,-109.85
142,46.98,-70.83
143,50.15,-99.57
144,45.52,-73.57
145,46.72,-71.22
146,49.64,-109.51
147,54.77,-112.97
148,46.46,-61.99
149,48.93,-64.28
150,45.95,-73.58
151,50.62,-126.32
152,51.48,-107.05
153,45.40,-75.72
154,47.93,-78.57
155,49.67,-107.00
156,49.14,-111.65
157,49.80,-114.47
158,50.13,-102.05
159,52.23,-78.52
160,49.02,-118.23
161,49.28,-122.75
162,49.27,-123.20
163,45.05,-64.42
164,49.13,-114.03
165,49.77,-113.48
166,55.20,-119.40
167,46.25,-78.68
168,79.97,-99.50
169,45.42,-75.68
170,51.55,-87.97
171,50.72,-113.30
172,46.38,-70.70
173,47.85,-80.45
174,49.20,-123.80
175,51.15,-108.77
176,49.47,-78.30
177,52.07,-106.63
178,47.17,-71.62
179,50.85,-104.27
180,51.80,-106.50
181,54.13,-108.52
182,61.24,-123.74
183,43.08,-79.08
184,50.83,-122.87
185,46.57,-75.50
186,53.90,-108.45
187,58.18,-103.70
188,69.50,-139.25
189,50.65,-114.03
190,58.18,-116.40
191,52.17,-124.20
192,54.05,-128.68
193,47.67,-54.72
194,50.47,-90.35
195,44.25,-76.85
196,57.13,-110.90
197,46.23,-61.30
198,53.83,-73.50
199,49.13,-97.95
200,51.62,-108.02
201,49.27,-122.93
202,46.87,-70.88
203,49.97,-98.30
204,49.20,-98.90
205,48.82,-56.87
206,60.30,-123.52
207,51.78,-113.20
208,48.65,-123.57
209,49.88,-103.43
210,49.57,-57.88
211,46.68,-72.32
212,51.03,-108.05
213,43.25,-79.75
214,53.67,-110.13
215,45.72,-75.70
216,53.85,-115.35
217,53.12,-115.32
218,49.36,-120.08
219,49.68,-115.98
220,49.87,-97.08
221,49.38,-109.35
222,44.02,-78.73
223,44.78,-75.53
224,45.65,-74.93
225,51.43,-116.54
226,50.53,-119.17
227,52.25,-115.30
228,48.54,-58.55
229,43.37,-81.62
230,52.68,-118.10
231,46.33,-71.05
232,54.41,-110.26
233,51.60,-56.70
234,53.53,-60.15
235,55.47,-129.47
236,45.13,-74.35
237,54.68,-117.53
238,50.48,-113.87
239,48.33,-77.27
240,50.95,-73.03
241,49.22,-122.92
242,49.19,-123.18
243,61.18,-115.32
244,49.00,-88.25
245,69.11,-105.14
246,44.02,-79.47
247,50.17,-114.70
248,44.70,-76.95
249,49.62,-102.10
250,52.49,-116.04
251,43.78,-79.27
252,44.60,-79.44
253,49.72,-112.63
254,48.15,-69.12
255,50.65,-119.95
256,49.20,-113.29
257,47.35,-68.19
258,46.02,-73.43
259,44.52,-79.45
260,53.19,-99.27
261,48.42,-71.75
262,48.45,-123.39
263,45.05,-73.58
264,50.38,-106.55
265,47.87,-53.93
266,53.72,-101.53
267,46.37,-60.97
268,47.07,-70.78
269,53.10,-111.35
270,49.50,-55.82
271,45.07,-64.48
272,48.82,-56.54
273,61.70,-108.00
274,64.91,-125.57
275,49.52,-96.90
276,49.27,-121.23
277,48.97,-68.62
278,68.44,-89.73
279,49.42,-118.05
280,43.60,-80.06
